기관명,기관구분,지역코드,구시군코드,입찰주기,지난입찰일,입찰예상일,확정여부,경도,위도,출처,수정일
서울특별시,지자체,11,,4,2026-04-03,,,,,기준일=공고일(시금고 지정계획 공고);차기 약정 2027-01-01~2030-12-31 · 제안서 접수 2026-05-04~06 · 심의 2026-05-12;https://www.seoul.go.kr/news/news_report.do?nttNo=455542;https://www.newsis.com/view/NISX20260403_0003576761,2026-08-09
부산광역시,지자체,26,,4,2024-09-24,,,,,기준일=지정(선정)일 — 공고일 미상;현 약정 2025-01-01~2028-12-31 · 1금고 BNK부산은행 · 2금고 KB국민은행;https://mobile.busan.com/view/busan/view.php?code=2024092418412299203;https://www.sedaily.com/NewsView/2DEF233EW3,2026-08-09
인천광역시,지자체,28,,4,,2026-08-06,Y,,,기준일=공고일(금고 지정계획 공고) — 진행 중;차기 약정 2027-01-01~2030-12-31 · 설명회 2026-08-13 · 접수 2026-08-28~09-02 · 9월 중순 선정;1금고 약 15조 · 2금고 약 2조 · 배점 신용도25/시민편의24/금고관리24/금리18/지역기여7/기타2;https://www.kyeongin.com/article/1768606;https://www.hankyung.com/article/202608068559i,2026-08-09
대전광역시,지자체,30,,4,2025-09-04,,,,,기준일=제안서 접수 마감일 — 공고일 미상;현 약정 2026-01-01~2029-12-31 · 1금고 하나은행 · 2금고 농협은행;https://www.daejonilbo.com/news/articleView.html?idxno=2227996;https://www.kfenews.co.kr/news/articleView.html?idxno=646102,2026-08-09
울산광역시,지자체,31,,4,2023-09-25,,,,,기준일=지정(선정)일 — 공고일 미상;현 약정 2024-01-01~2027-12-31 · 1금고 BNK경남은행 · 2금고 농협은행;https://www.hankookilbo.com/news/article/A2023092517270005621;https://www.hankyung.com/article/202309257075Y,2026-08-09
경기도,지자체,41,,4,2024-12-30,,,,,기준일=지정(선정)일 — 공고일 미상;⚠️ 회계연도 정렬 예외 — 약정 2025-04-01~2029-03-31 (1/1 시작이 아니다);1금고 NH농협은행 · 2금고 하나은행 · 연 약 40조;https://www.kyeonggi.com/article/20241231580040;https://www.nongmin.com/article/20241231500235,2026-08-09
강원특별자치도,지자체,42,,4,2025-10-31,,,,,기준일=지정(선정)일 — 공고일 미상;현 약정 2026-01-01~2029-12-31 · 1금고 NH농협은행 · 2금고 신한은행;https://v.daum.net/v/20251031000907650;https://biz.heraldcorp.com/article/10532799,2026-08-09
경상남도,지자체,48,,3,2025-12-05,,,,,기준일=지정(선정)일 — 공고일 미상;⚠️ 주기 예외 — 약정 2026-01-01~2028-12-31 로 **3년**이다(4년 아님);1금고 NH농협은행 · 2금고 BNK경남은행;https://go.seoul.co.kr/news/newsView.php?id=20251205500117;https://www.idomin.com/news/articleView.html?idxno=951820,2026-08-09
제주특별자치도,지자체,50,,4,2024-11-04,,,,,기준일=지정 결과 공고일;현 약정 2025-01-01~2028-12-31 · 1금고 농협은행 제주본부 · 2금고 제주은행;https://v.daum.net/v/20241104143534081;https://www.jejunews.com/news/articleView.html?idxno=2214552,2026-08-09
대구광역시,지자체,27,,,,,,,,"월/일 미확보 — 지정일·공고일 모두 특정 실패;2024년 지정, 현 약정 2025~2028(4년)로 보도 · 1금고 iM뱅크(구 대구은행) · 2금고 농협은행;대구시 조례: 약정 만료 6개월 전까지 공고, 만료 90일 전까지 지정 완료;https://www.ynenews.kr/news/articleView.html?idxno=73424",2026-08-09
전남광주통합특별시,지자체,46,,,,,,,,"⚠️ 행정구역 변동 — 2026-07-01 광주광역시+전라남도 통합 출범. 두 광역 레코드와 지도 폴리곤을 하나로 병합함(2026-08-10);통합 첫 금고: 1금고 NH농협은행 · 2금고 광주은행 · 운영 2026-07-01~2026-12-31(6개월);차기 금고 공개모집 2026년 10월경 예정 — 일자 미상이라 날짜는 비움;직전 광주시 금고: 2024-10-07 지정, 약정 2025~2028(통합으로 중단);https://v.daum.net/v/20260522182104767;https://www.hankyung.com/article/202605224899h;https://www.newspim.com/news/view/20260522001294;https://www.jnilbo.com/news/articleView.html?idxno=90000036987",2026-08-10
